,title,abstract,affiliations,authors,journal,date,keywords,url
331,The effective point of measurement for depth-dose measurements in small MV photon beams with different detectors,"Purpose:
      
    

    
      The effective point of measurement (EPOM) of cylindrical ionization chambers differs from their geometric center. The exact shift depends on chamber construction details, above all the chamber size, and to some degree on the field-size and beam quality. It generally decreases as the chamber dimensions get smaller. In this work, effective points of measurement in small photon fields of a range of cylindrical chambers of different sizes are investigated, including small chambers that have not been studied previously. Methods:
      
    

    
      In this investigation, effective points of measurement for different ionization chambers (Farmer type, scanning chambers, micro-ionization chambers) and solid state detectors were determined by measuring depth-ionization curves in a 6 MV beam in field sizes between 2 × 2 cm2 and 10 × 10 cm2 and comparing those curves with curves measured with plane-parallel chambers. Results:
      
    

    
      It was possible to average the results to one shift per detector, as the results were sufficiently independent of the studied field sizes. For cylindrical ion chambers, shifts of the EPOM were determined to be between 0.49 and 0.30 times the inner chamber radius from the reference point. Conclusions:
      
    

    
      We experimentally confirmed the previously reported decrease of the EPOM shift with decreasing detector size. Highly accurate data for a large range of detectors, including new very small ones, were determined. Thus, small chambers noticeably differ from the 0.5-times to 0.6-times the inner chamber radius recommendations in current dosimetry protocols. The detector-individual EPOMs need to be considered for measurements of depth-dose curves.","['1 Radiation Oncology, University of Wuerzburg, Josef-Schneider-Str. 11, 97080, Wuerzburg, Germany.']","Sonja Wegener, Otto A Sauer, ",Medical physics,2019 Nov,depth dose curves; effective point of measurement; ionization chambers; micro-chambers.,https://pubmed.ncbi.nlm.nih.gov/31461533
332,Spatio-energetic cross-talk in photon counting detectors: Numerical detector model (PcTK) and workflow for CT image quality assessment,"Purpose:
      
    

    
      The interpixel cross-talk of energy-sensitive photon counting x-ray detectors (PCDs) has been studied and an analytical model (version 2.1) has been developed for double-counting between neighboring pixels due to charge sharing and K-shell fluorescence x-ray emission followed by its reabsorption (Taguchi K, et al., Medical Physics 2016;43(12):6386-6404). While the model version 2.1 simulated the spectral degradation well, it had the following problems that has been found to be significant recently: (1) The spectrum is inaccurate with smaller pixel sizes; (2) the charge cloud size must be smaller than the pixel size; (3) the model underestimates the spectrum/counts for 10-40 keV; and (4) the model version 2.1 cannot handlen-tuple-counting withn > 2 (i.e., triple-counting or higher). These problems are inherent to the design of the model version 2.1; therefore, we developed a new model and addressed these problems in this study. Methods:
      
    

    
      We propose a new PCD cross-talk model (version 3.2; Pc TK for ""photon counting toolkit"") that is based on a completely different design concept from the previous version. It uses a numerical approach and starts with a 2-D model of charge sharing (as opposed to an analytical approach and a 1-D model with version 2.1) and addresses all of the four problems. The model takes the following factors into account: (1) shift-variant electron density of the charge cloud (Gaussian-distributed), (2) detection efficiency, (3) interactions between photons and PCDs via photoelectric effect, and (4) electronic noise. Correlated noisy PCD data can be generated using either a multivariate normal random number generator or a Poisson random number generator. The effect of the two parameters, the effective charge cloud diameter (d0 ) and pixel size (dpix ), was studied and results were compared with Monte Carlo simulations and the previous model version 2.1. Finally, a script for the workflow for CT image quality assessment has been developed, which started with a few material density images, generated material-specific sinogram (line integrals) data, noisy PCD data with spectral distortion using the model version 3.2, and reconstructed PCD- CT images for four energy windows. Results:
      
    

    
      The model version 3.2 addressed all of the four problems listed above. The spectra withdpix = 56-113 μm agreed with that of Medipix3 detector withdpix = 55-110 μm without charge summing mode qualitatively. The counts for 10-40 keV were larger than the previous model (version 2.1) and agreed with MC simulations very well (root-mean-square difference values with model version 3.2 were decreased to 16%-67% of the values with version 2.1). There were many non-zero off-diagonal elements withn-tuple-counting withn > 2 in the normalized covariance matrix of 3 × 3 neighboring pixels. Reconstructed images showed biases and artifacts attributed to the spectral distortion due to the charge sharing and fluorescence x rays. Conclusion:
      
    

    
      We have developed a new PCD model for spatio-energetic cross-talk and correlation between PCD pixels. The workflow demonstrated the utility of the model for general or task-specific image quality assessments for the PCD- CT.Note: The program (Pc TK) and the workflow scripts have been made available to academic researchers. Interested readers should visit the website (pctk.jhu.edu) or contact the corresponding author.","['1 Division of Medical Imaging Physics, The Russell H Morgan Department of Radiology and Radiological Science, Johns Hopkins University School of Medicine, Baltimore, MD, 21287, USA.', '2 Computed Tomography, Siemens Healthineers, Forchheim, Germany.', '3 Institute for Clinical Radiology, Ludwig-Maximilians-University Hospital, Munich, Germany.']","Katsuyuki Taguchi, Karl Stierstorfer, Christoph Polster, Okkyun Lee, Steffen Kappler, ",Medical physics,2018 May,computed tomography; cross-talk; double-counting; photon counting; spectral distortion; spectral response.,https://pubmed.ncbi.nlm.nih.gov/29537627
333,Myths and realities of range uncertainty,"Range uncertainty is a much discussed topic in proton therapy. Although a very real aspect of proton therapy, its magnitude and consequences are sometimes misunderstood or overestimated. In this article, the sources and consequences of range uncertainty are reviewed, a number of myths associated with the effect discussed with the aim of putting range uncertainty into clinical context and attempting to de-bunk some of the more exaggerated claims made as to its consequences.","['1 Centre for Proton Therapy, Paul Scherrer Institute, Switzerland and Department of Physics, ETH Zurich, Switzerland.']","Antony John Lomax, ",The British journal of radiology,2020 Mar,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31778317
334,Experimental Study of the Oriented Immobilization of Antibodies on Photonic Sensing Structures by Using Protein A as an Intermediate Layer,"A proper antibody immobilization on a biosensor is a crucial step in order to obtain a high sensitivity to be able to detect low target analyte concentrations. In this paper, we present an experimental study of the immobilization process of antibodies as bioreceptors on a photonic ring resonator sensor. A protein A intermediate layer was created on the sensor surface in order to obtain an oriented immobilization of the antibodies, which enhances the interaction with the target antigens to be detected. The anti-bovine serum albumin (antiBSA)-bovine serum albumin (BSA) pair was used as a model for our study. An opto-fluidic setup was developed in order to flow the different reagents and, simultaneously, to monitor in real-time the spectral response of the photonic sensing structure. The antiBSA immobilization and the BSA detection, their repeatability, and specificity were studied in different conditions of the sensor surface. Finally, an experimental limit of detection for BSA recognition of only 1 ng/mL was obtained.","['1 Nanophotonics Technology Center, Universitat Politècnica de València, Camino de Vera s/n, 46022 Valencia, Spain. rcaroselli@ntc.upv.es.', '2 Nanophotonics Technology Center, Universitat Politècnica de València, Camino de Vera s/n, 46022 Valencia, Spain. jagarcas@gmail.com.', '3 Centro de Reconocimiento Molecular y Desarrollo Tecnológico, Departamento de Química, Universitat Politècnica de València, 46022 Valencia, Spain. joresfu1@upvnet.upv.es.', '4 Centro de Reconocimiento Molecular y Desarrollo Tecnológico, Departamento de Química, Universitat Politècnica de València, 46022 Valencia, Spain. mbpolo@upvnet.upv.es.', '5 Centro de Reconocimiento Molecular y Desarrollo Tecnológico, Departamento de Química, Universitat Politècnica de València, 46022 Valencia, Spain. amaquieira@qim.upv.es.', '6 Nanophotonics Technology Center, Universitat Politècnica de València, Camino de Vera s/n, 46022 Valencia, Spain. jaigarru@ntc.upv.es.']","Raffaele Caroselli, Javier García Castelló, Jorge Escorihuela, María José Bañuls, Ángel Maquieira, Jaime García-Rupérez, ","Sensors (Basel, Switzerland)",2018,Integrated photonics; biosensing; ring resonator; sensor.,https://pubmed.ncbi.nlm.nih.gov/29597326
335,Fast screening of antibiotics in milk using a molecularly imprinted two-dimensional photonic crystal hydrogel sensor,"As a typical antibiotic that is harmful to the health of human beings and widely used in animal husbandry, oxytetracycline (OTC) has a potential threat to the food safety. Therefore, the design of portable sensors for efficiently monitoring trace amounts of OTC in foods is vital to maintain safe food supply in our daily life. Herein, a two-dimensional (2D) molecularly imprinted photonic crystal hydrogel (MIPCH) sensor for the detection of OTC was fabricated by combining the photonic crystal (PC) method and molecular imprinting technique. In this regard, OTC was used as imprinted template to form the MIPCH sensor with specific binding sites during polymerization. After the removal of template, the obtained MIPCH possessed the specific nanocavities that were complementary to target compound, OTC. In addition, the response of the MIPCH to tetracyclines (TCs) in aqueous solution was monitored through a readable change of Debye diffraction ring, which is related to the particle spacing variation of MIPCH in response to the target molecules. As the concentration of OTC increased from 0 to 60 μM, the particle spacing of MIPCH sensor increased to about 94 nm and the structural color redshifted from blue to red. More importantly, the detection of OTC in milk sample by this portable, cost-effective MIPCH sensor has also been achieved at the same range of OTC. With the increasing concentration of OTC in milk sample, the particle spacing of MIPCH sensor increased about 92 nm and the structural color of MIPCH changed from blue through green to orange.","['1 School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Beijing, 100081, PR China.', '2 School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Beijing, 100081, PR China. Electronic address: m_zihui@yahoo.com.']","Yifei Wang, Tengsheng Xie, Ji Yang, Meng Lei, Jing Fan, Zihui Meng, Min Xue, Lili Qiu, Fenglian Qi, Zhe Wang, ",Analytica chimica acta,2019,Antibiotics; Chemical sensor; Food safety; Molecular imprinting; Oxytetracycline; Photonic crystal.,https://pubmed.ncbi.nlm.nih.gov/31103172
336,PRIMO Monte Carlo software benchmarked against a reference dosimetry dataset for 6 MV photon beams from Varian linacs,"Background:
      
    

    
      The software PRIMO for the Monte Carlo simulation of radiotherapy linacs could potentially act as a independent calculation system to verify the calculations of treatment planning systems. We investigated the suitability of the PRIMO default beam parameters to produce accurate dosimetric results for 6 MV photon beams from Varian Clinac 2100 linacs and 6 MV flattening-filter-free photon beams from Varian TrueBeam linacs. Methods:
      
    

    
      Simulation results with the DPM algorithm were benchmarked against a published reference dosimetry dataset based on point measurements of 25 dosimetric parameters on a large series of linacs. Studied parameters (for several field sizes and depths) were: PDD, off-axis ratios, and output factors for open fields and IMRT/SBRT-style fields. For the latter, the output factors were also determined with radiochromic film and with a small-sized ionization chamber. Benchmark data, PRIMO simulation results and our experimental results were compared. Results:
      
    

    
      PDD, off-axis ratios, and open-field output factors obtained from the simulations with the PRIMO default beam parameters agreed with the benchmark data within 2.4% for Clinac 2100, and within 1.3% for TrueBeam. Higher differences were found for IMRT/SBRT-style output factors: up to 2.8% for Clinac 2100, and up to 3.3% for TrueBeam. Experimental output factors agreed with benchmark data within 1.0% (ionization chamber) and within 1.9% (radiochromic film). Conclusions:
      
    

    
      PRIMO default initial beam parameters for 6 MV photon beams from Varian Clinac 2100 linacs and 6 MV FFF photon beams from Varian TrueBeam linacs allowed agreement within 3.3% with a dosimetry database based on measurements of a high number of linacs. This finding represents a first step in the validation of PRIMO for the independent verification of radiotherapy plans.","[""1 Servei de Física i Protecció Radiològica. Hospital Universitari Vall d'Hebron, Pg. Vall d'Hebron, 119-129, Barcelona, 08035, Spain. mhermida@vhebron.net."", ""2 Servei de Física i Protecció Radiològica. Hospital Universitari Vall d'Hebron, Pg. Vall d'Hebron, 119-129, Barcelona, 08035, Spain."", '3 Servicio de Oncología Radioterápica, Hospital Quirónsalud Barcelona, Pza. Alfonso Comín, 5, Barcelona, 08023, Spain.', '4 Servicio de Oncología Radioterápica, Hospital Universitario Dexeus, C./ Sabino Arana, 5-19, Barcelona, 08028, Spain.']","Marcelino Hermida-López, David Sánchez-Artuñedo, Juan Francisco Calvo-Ortega, ","Radiation oncology (London, England)",2018,Dosimetry; Linac; Monte Carlo simulation; PRIMO.,https://pubmed.ncbi.nlm.nih.gov/30086767
337,Michael-Addition-Mediated Photonic Crystals Allow Pretreatment-Free and Label-Free Sensoring of Ciprofloxacin in Fish Farming Water,"Abuse of antibiotics results in a large number of antibiotics residues in the environment and even causes the problem of ""super bacteria"". Therefore, it is crucial to develop a powerful analytic method to monitor antibiotics quickly and simply. Photonic crystal (PC), as a sensing material, has promising application prospects. Herein, we try to use PC to realize pretreatment-free and label-free detection of Ciprofloxacin (CF) through Michael addition reaction. The recognition process is carried out by the Michael addition reaction between the piperazine group of CF and the o-benzoquinone group on the PC. The monodisperse microspheres with o-benzoquinone groups are prepared by polymerization and oxidation and then stacked to form PC. During the detection, the peak intensity of the PC decreases with the increasing CF concentration, and the linear range is from 2 to 512 μg/L. The limit of detection (LOD) is 0.76 μg/L. Furthermore, the PC retains 97% of the initial response after storage in a Petri dish at room temperature for 1 month, which shows that it has good stability. Moreover, CF in fish farming water can be detected directly without any pretreatment and label, and the results are in good accordance with the LC-MS-MS results. This Michael-addition-mediated PC is accurate, easily prepared, cost-efficient, and long-term stable. In addition, it is environmentally friendly, because little organic solvent is needed during both the preparation and the detection.","[""1 College of Food Science and Engineering, Shandong Agricultural University , Tai'an 271018, P. R. China."", '2 Tianjin Key Laboratory of Risk Assessment and Control Technology for Environment and Food Safety, Tianjin Institute of Health and Environmental Medicine , Tianjin 300050, P. R. China.']","Yanqiu Song, Jialei Bai, Rong Zhang, Houluo He, Chao Li, Jiang Wang, Shuang Li, Yuan Peng, Baoan Ning, Minglin Wang, Zhixian Gao, ",Analytical chemistry,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29243476
338,Brain Reward Circuit and Pain,"Pain plays an important role in alerting the body to potential tissue injury and drives behavior that protects the body from further harm. In contrast, chronic pain does not serve this function and instead only provides a persistent sensation of pain and a negative experience. The mesolimbic dopaminergic system has been recognized to play a central role in motivated behaviors, including various types of reward and pleasure. Many dopaminergic neurons may release multiple neurotransmitters, and the physiological role of the co-release of these transmitters has been revealed incrementally. However, it was not yet clear whether the mesolimbic dopaminergic system and small molecules released in the nucleus accumbens (N.Acc.), the input region of mesolimbic dopaminergic neurons, are involved in pain modulation. Recently, we revealed that the mesolimbic dopaminergic system and small molecules released in the N.Acc. could contribute to pain modulation. In this review, we provide an overview of the relationship between pain and the brain reward circuit using a combination of optogenetics, electrophysiology, and in vivo microdialysis/mass spectrometry integrated system.","['1 Department of Pharmacology, Hoshi University School of Pharmacy and Pharmaceutical Sciences, Tokyo, Japan.', '2 Department of Pharmacology, Hoshi University School of Pharmacy and Pharmaceutical Sciences, Tokyo, Japan. narita@hoshi.ac.jp.', '3 Life Science Tokyo Advanced Research Center (L-StaR), Hoshi University School of Pharmacy and Pharmaceutical Sciences, Tokyo, Japan. narita@hoshi.ac.jp.']","Moe Watanabe, Minoru Narita, ",Advances in experimental medicine and biology,2018,Dopamine; Morphine; Nucleus accumbens; Ventral tegmental area.,https://pubmed.ncbi.nlm.nih.gov/30306526
339,High-sensitivity quasi-periodic photonic crystal biosensor based on multiple defective modes,"The sensitivities of the octagonal quasi-periodic photonic crystal (QPC) defective modes are theoretically studied. The octagonal QPC biosensors are composed of silicon columns arranged in a liquid background. By designing a defect structure, a variety of localized modes with different spatial symmetries and field profiles are obtained, and a maximum refractive index sensitivity 800 nm/RIU is achieved around 1500 nm transmission peak when the central rod's size equals 100 nm, and the corresponding detection limit reaches 0.00042. The liquid can flow freely among the rods through the entire structure, so it is convenient to monitor the concentration of protein in the liquid environment dynamically. The influence of the protein's thickness to the shift of the resonant wavelength is also studied, where a minimum protein's thickness of less than 10 nm can be detected by optimizing the central column's size to be 400 nm, and the spatial field profiles of different resonant modes are analyzed to explain the corresponding sensitivities.",NO_AFFILIATIONS,"Xiaoqing Wang, Lin Zhou, Tingting Zhao, Xing Liu, Shuai Feng, Xiao Chen, Honglian Guo, Chuanbo Li, Yiquan Wang, ",Applied optics,2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31044889
340,Application of unfolding transformation in the random matrix theory to analyze in vivo neuronal spike firing during awake and anesthetized conditions,"General anesthetics decrease the frequency and density of spike firing. This effect makes it difficult to detect spike regularity. To overcome this problem, we developed a method utilizing the unfolding transformation which analyzes the energy level statistics in the random matrix theory. We regarded the energy axis as time axis of neuron spike and analyzed the time series of cortical neural firing in vivo. Unfolding transformation detected regularities of neural firing while changes in firing densities were associated with pentobarbital. We found that unfolding transformation enables us to compare firing regularity between awake and anesthetic conditions on a universal scale.","['1 Department of Pharmacology, Nihon University School of Dentistry, 1-8-13 Kanda-Surugadai, Chiyoda-ku, Tokyo, Japan.', '2 Department of Physics, Nihon University College of Science and Technology, 1-8-14 Kanda-Surugadai, Chiyoda-ku, Tokyo, Japan. Electronic address: yamanaka.masanori@nihon-u.ac.jp.', '3 Department of Pharmacology, Nihon University School of Dentistry, 1-8-13 Kanda-Surugadai, Chiyoda-ku, Tokyo, Japan; Molecular Dynamics Imaging Unit, RIKEN Center for Life Science Technologies, Kobe, Hyogo, Japan. Electronic address: kobayashi.masayuki@nihon-u.ac.jp.']","Risako Kato, Masanori Yamanaka, Masayuki Kobayashi, ",Journal of pharmacological sciences,2018 Mar,Regularity; Spike-timing; Unfolding transformation.,https://pubmed.ncbi.nlm.nih.gov/29506906
341,Preface,NO_ABSTRACT,NO_AFFILIATIONS,"Ivan J Dmochowski, Roderic G Eckenhoff, ",Methods in enzymology,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29588044
342,Determination of the active volumes of solid-state photon-beam dosimetry detectors using the PTB proton microbeam,"Purpose:
      
    

    
      This study aims at the experimental determination of the diameters and thicknesses of the active volumes of solid-state photon-beam detectors for clinical dosimetry. The 10 MeV proton microbeam of the PTB (Physikalisch-Technische Bundesanstalt, Braunschweig) was used to examine two synthetic diamond detectors, type microDiamond (PTW Freiburg, Germany), and the silicon detectors Diode E (PTW Freiburg, Germany) and Razor Diode (Iba Dosimetry, Germany). The knowledge of the dimensions of their active volumes is essential for their Monte Carlo simulation and their applications in small-field photon-beam dosimetry. Methods:
      
    

    
      The diameter of the active detector volume was determined from the detector current profile recorded by radially scanning the proton microbeam across the detector. The thickness of the active detector volume was determined from the detector's electrical current, the number of protons incident per time interval and their mean stopping power in the active volume. The mean energy of the protons entering this volume was assessed by comparing the measured and the simulated influence of the thickness of a stack of aluminum preabsorber foils on the detector signal. Results:
      
    

    
      For all detector types investigated, the diameters measured for the active volume closely agreed with the manufacturers' data. For the silicon Diode E detector, the thickness determined for the active volume agreed with the manufacturer's data, while for the microDiamond detectors and the Razor Diode, the thicknesses measured slightly exceeded those stated by the manufacturers. Discussion:
      
    

    
      The PTB microbeam facility was used to analyze the diameters and thicknesses of the active volumes of photon dosimetry detectors for the first time. A new method of determining the thickness values with an uncertainty of ±10% was applied. The results appear useful for further consolidating detailed geometrical knowledge of the solid-state detectors investigated, which are used in clinical small-field photon-beam dosimetry.","['1 University Clinic for Medical Radiation Physics, Medical Campus Pius-Hospital, Carl von Ossietzky University, Oldenburg, Germany.', '2 Radiotherapy Department, Imland Hospital, Rendsburg, Germany.', '3 Physikalisch-Technische Bundesanstalt (PTB), Bundesallee 100, Braunschweig, 38116, Germany.', '4 Prof. em., Medical Physics and Biophysics, Georg August University, Göttingen, Germany.']","Daniela Poppinga, Bjoern Delfs, Jutta Meyners, Frank Langner, Ulrich Giesen, Dietrich Harder, Bjoern Poppe, Hui K Looe, ",Medical physics,2018 Jul,active detector volume; dosimetry; solid-state detector.,https://pubmed.ncbi.nlm.nih.gov/29727482
343,MCP-based detectors: calibration and first photon radiation measurements,"Detectors based on microchannel plates (MCPs) are used to detect radiation from free-electron lasers. Three MCP detectors have been developed by JINR for the European XFEL (SASE1, SASE2 and SASE3 lines). These detectors are designed to operate in a wide dynamic range from the level of spontaneous emission to the SASE saturation level (between a few nJ up to 25 mJ), in a wide wavelength range from 0.05 nm to 0.4 nm for SASE1 and SASE2, and from 0.4 nm to 4.43 nm for SASE3. The detectors measure photon pulse energies with an anode and a photodiode. The photon beam image is observed with an MCP imager with a phosphor screen. At present, the SASE1 and SASE3 MCP detectors are commissioned with XFEL beams. Calibration and first measurements of photon radiation in multibunch mode are performed with the SASE1 and SASE3 MCPs. The MCP detector for SASE2 and its electronics are installed in the XFEL tunnel, technically commissioned, and are now ready for acceptance tests with the X-ray beam.","['1 Joint Institute for Nuclear Research (JINR), Joliot-Curie 6, Dubna, Moscow Region 141980, Russian Federation.', '2 Deutsches Elektronen Synchrotron (DESY), Notkestraße 85, 22603 Hamburg, Germany.', '3 European XFEL, Holzkoppel 4, 22869 Schenefeld, Germany.']","Evgeny Syresin, Alexander Grebentsov, Oleg Brovko, Mikhail Yurkov, Wolfgang Freund, Jan Grünert, ",Journal of synchrotron radiation,2019,XFEL physics; microchannel plate detectors; photon beam diagnostics.,https://pubmed.ncbi.nlm.nih.gov/31490127
344,A novel simplistic fabrication technique for cranial epidural electrodes for chronic recording and stimulation in rats,"Background:
      
    

    
      The demand for neuromodulatory and recording tools has resulted in a surge of publications describing techniques for fabricating devices and accessories in-house suitable for neurological recordings. However, many of these fabrication protocols use equipment which are not common to biological laboratories, thus limiting researchers to the use of commercial alternatives. New method:We have developed a simple yet robust implantable stimulating surface electrode which can be fabricated in all wet-bench laboratories. Results:
      
    

    
      Female Sprague-Dawley rats received epidural implantation of the electrodes over the fore and hind limb areas of their motor cortex. Stimulation of the motor cortex successfully evoked fore- and hind limb motor outputs. The device was also able to record surface potentials of the motor cortex following epidural stimulation of the spinal cord. Comparisons with existing methods:For stimulation of the motor cortex, often stiff stainless or copper wires are roughly tucked underneath the skull, with little accuracy of localization. While, commercially available devices utilize burr holes and screw electrodes. Our new electrode design provides us stereotaxic accuracy that was not previously available. Conclusion:
      
    

    
      We developed a chronic implantable electrode capable of being fabricated in all wet-labs, are robust, versatile and electrically sensitive enough for long-term chronic use. The simple and versatile electrode design provides scientific, economical and ethical benefits.","['1 School of Electronic and Electrical Engineering, University of Leeds, Leeds, LS2 9JT, UK.', '2 School of Biomedical Sciences, University of Leeds, Leeds, LS2 9JT, UK.', '3 School of Biomedical Sciences, University of Leeds, Leeds, LS2 9JT, UK. Electronic address: s.chakrabarty@leeds.ac.uk.']","C Russell, R W P Kissane, D P Steenson, S Chakrabarty, ",Journal of neuroscience methods,2019,Chronic implant; Electrophysiology; Epidural electrode.,https://pubmed.ncbi.nlm.nih.gov/30389487
345,Characterization of photon-counting multislit breast tomosynthesis,"Purpose:
      
    

    
      It has been shown that breast tomosynthesis may improve sensitivity and specificity compared to two-dimensional mammography, resulting in increased detection-rate of cancers or lowered call-back rates. The purpose of this study is to characterize a spectral photon-counting multislit breast tomosynthesis system that is able to do single-scan spectral imaging with multiple collimated x-ray beams. The system differs in many aspects compared to conventional tomosynthesis using energy-integrating flat-panel detectors. Methods:
      
    

    
      The investigated system was a prototype consisting of a dual-threshold photon-counting detector with 21 collimated line detectors scanning across the compressed breast. A review of the system is done in terms of detector, acquisition geometry, and reconstruction methods. Three reconstruction methods were used, simple back-projection, filtered back-projection and an iterative algebraic reconstruction technique. The image quality was evaluated by measuring the modulation transfer-function (MTF), normalized noise-power spectrum, detective quantum-efficiency (DQE), and artifact spread-function (ASF) on reconstructed spectral tomosynthesis images for a total-energy bin (defined by a low-energy threshold calibrated to remove electronic noise) and for a high-energy bin (with a threshold calibrated to split the spectrum in roughly equal parts). Acquisition was performed using a 29 kVp W/Al x-ray spectrum at a 0.24 mGy exposure. Results:
      
    

    
      The difference in MTF between the two energy bins was negligible, that is, there was no energy dependence on resolution. The MTF dropped to 50% at 1.5 lp/mm to 2.3 lp/mm in the scan direction and 2.4 lp/mm to 3.3 lp/mm in the slit direction, depending on the reconstruction method. The full width at half maximum of the ASF was found to range from 13.8 mm to 18.0 mm for the different reconstruction methods. The zero-frequency DQE of the system was found to be 0.72. The fraction of counts in the high-energy bin was measured to be 59% of the total detected spectrum. Scantimes ranged from 4 s to 16.5 s depending on voltage and current settings. Conclusions:
      
    

    
      The characterized system generates spectral tomosynthesis images with a dual-energy photon-counting detector. Measurements show a high DQE, enabling high image quality at a low dose, which is beneficial for low-dose applications such as screening. The single-scan spectral images open up for applications such as quantitative material decomposition and contrast-enhanced tomosynthesis.","['1 Physics of Medical Imaging, Royal Institute of Technology, AlbaNova University Center, 106 91, Stockholm, Sweden.', '2 Philips Mammography Solutions, 164 40, Kista, Sweden.']","Karl Berggren, Björn Cederström, Mats Lundqvist, Erik Fredenberg, ",Medical physics,2018 Feb,ASF; DQE; MTF; photon-counting; spectral imaging; tomosynthesis.,https://pubmed.ncbi.nlm.nih.gov/29159881
346,Assessment of ion recombination correction and polarity effects for specific ionization chambers in flattening-filter-free photon beams,"Purpose:
      
    

    
      To investigate ion recombination correction and polarity effects in four ion chamber models in flattening-filter-free (FFF) beams to (1) evaluate their suitability for reference dosimetry; (2) assess the accuracy of the two-voltage technique (TVA) against the Bruggmoser formalism; and (3) examine the influence of the accelerator type on the recombination correction. Methods:
      
    

    
      Jaffé plots were created for a variety of microchambers, small-volume and Farmer-type chambers to obtain kS, the recombination correction factor, using two different types of accelerators. These values were plotted against dose-per-pulse and Jaffé plots for opposite polarities were created to determine which chambers meet the AAPM TG-51 addendum recombination and polarity specifications. Results:
      
    

    
      Nearly all small-volume chambers exhibited reference-class behavior with respect to ion recombination and polarity effects. The microchambers exhibited anomalous recombination and polarity effects, precluding their use for reference dosimetry in FFF beams. For the reference-class chambers, agreement between TVA-determined kS values and Jaffé and Bruggmoser formalisms-determined kS values was within 0.1%. No significant differences were found between the kS values obtained with the two different accelerators used in this work. Conclusions:
      
    

    
      This study stresses the need to characterize ion recombination correction and polarity effects for small-volume chambers and microchambers on an individual chamber basis and with the more rigorous criteria of the AAPM TG-51 addendum. Furthermore, the study demonstrated the suitability of the TVA method for chambers that exhibit reference-class behavior in FFF beams. Finally, this work has shown that the recombination correction does not depend on the type of accelerator but on its dose-per-pulse.","['1 Medical Physics and Radiation Protection Service, Hospital Universitario de Fuenlabrada, C/ Camino del Molino 2, 28492 Fuenlabrada, Madrid, Spain. Electronic address: guadalupe.martin@salud.madrid.org.', '2 Clínica Universidad de Navarra, Department of Radiation Physics, Avenida Pío XII, 31080 Pamplona, Navarra, Spain.', '3 Medical Physics Group, Department of Radiology, University Complutense of Madrid, 28040 Madrid, Spain.']","Guadalupe Martin-Martin, Pedro Borja Aguilar, Benigno Barbés, Eduardo Guibelalde, ",Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),2019 Nov,Bruggmoser formalism; Flattening-filter-free beams; Recombination correction; Small-volume chambers.,https://pubmed.ncbi.nlm.nih.gov/31734555
347,Autler-Townes splitting biosensing based on a nonuniform photonic crystal waveguide with feedback loop,"Aimed at a high-performance biosensor for sensing biological molecules quickly and accurately, a novel nonuniform photonic crystal waveguide (NUPhCW) with a feedback loop is systematically investigated based on the mode-splitting effect. Thanks to the careful design of the nonuniform holes of NUPhCW with a feedback loop, the Autler-Townes splitting occurs in our device, and the spacing of two splitting resonance modes changes with the environmental refractive index, which is beneficial for achieving biosensing scenarios. Further, this integrated structure allows for self-referencing detection for immunity against environmental noise. Sensitivity of the NUPhCW is achieved at ∼117 nm/RIU, which is 2.6 times more than that of the common microring resonator, indicating that our proposed device structure would be promising for high-quality optical label-free sensing.",NO_AFFILIATIONS,"Guohui Yuan, Fangcao Peng, Lei Guan, Zhenming Peng, Zhuoran Wang, ",Applied optics,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30129591
348,Special Section Guest Editorial: Pioneer in Biomedical Optics: Introduction to the Special Section in Honor of Steven L. Jacques,This guest editorial introduces the special section honoring Prof. Steven L. Jacques.,"['1 Columbia University, Department of Biomedical Engineering, New York, New York 10027United States.', '2 Florida International University, Department of Biomedical Engineering and Herbert Wertheim College.', '3 California Institute of Technology, Cherng Department of Medical Engineering, Pasadena, California 9.']","Andreas H Hielscher, Jessica Ramella-Roman, Lihong V Wang, ",Journal of biomedical optics,2018 Dec,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30574694
